country,iso_code,year,forest_area_sqkm,forest_loss_sqkm,deforestation_rate_percent,agricultural_land_sqkm,agricultural_expansion_sqkm,cattle_count,cattle_density
India,IND,2019,2728978.73,3218.11,0.1179,1349663.81,2891.33,49948266.89,100.7117
Argentina,ARG,2022,6932579.83,2137.05,0.0308,1562392.81,2307.29,48016746.24,99.4208
Indonesia,IDN,2002,4011789.45,1935.78,0.0483,894703.7,3694.49,4204812.69,4.7414
Peru,PER,2001,6145406.68,1578.04,0.0257,2995540.1,1484.14,22953464.29,28.8449
DR Congo,COD,2021,6743579.92,708.09,0.0105,1362213.11,1026.3,33297100.47,40.7704
Peru,PER,2016,1505366.64,2315.07,0.1538,612950.22,2727.84,38467726.65,48.4905
Thailand,THA,2022,7008396.55,1551.97,0.0221,3064230.89,3256.63,2050666.89,2.8617
Thailand,THA,2019,7323084.12,2113.15,0.0289,2758746.42,2877.26,3079621.96,38.4987
Colombia,COL,2022,5915545.94,2110.48,0.0357,2978849.58,4988.85,16481246.13,33.7437
Mexico,MEX,2021,2360403.24,1764.03,0.0747,1294878.22,1572.42,47757365.93,156.0717
Colombia,COL,2007,1651513.84,786.9,0.0476,952949.77,272.77,13475953.59,54.9142
Brazil,BRA,2001,6922912.6,3633.78,0.0525,2655703.79,4334.31,30820054.6,35.0184
India,IND,2004,5590321.74,1749.69,0.0313,1162972.31,4691.92,26109314.52,29.9637
Indonesia,IDN,2017,3607865.92,2967.09,0.0822,1806430.69,4972.26,21902284.4,60.3115
Indonesia,IDN,2021,2290115.31,3293.54,0.1438,666110.81,3381.42,38481314.47,61.0507
Indonesia,IDN,2007,2914863.11,1329.66,0.0456,843567.02,2453.24,6584642.04,14.8575
Indonesia,IDN,2016,2449443.36,2399.85,0.098,1383551.6,3747.18,37596724.2,49.3371
Mexico,MEX,2020,6591426.9,1174.03,0.0178,2618346.53,1095.99,15071758.66,29.8985
DR Congo,COD,2019,3466685,3430.29,0.099,1382218.72,3850.87,46440061.73,52.1486
Thailand,THA,2006,6111593.18,3658.07,0.0599,2544342.93,4372.01,28628407.95,31.268
India,IND,2017,4514626.85,2442.39,0.0541,2279077.58,2637.8,44999244.58,99.8799
Colombia,COL,2003,2452128.17,2598.19,0.106,937691.54,3419.74,9280695.77,10.7432
Colombia,COL,2008,2697645.8,898.43,0.0333,994722.57,886.95,15659622.39,21.4233
Thailand,THA,2013,2373583.66,1376.82,0.058,1017137.8,4527.59,875673.58,1.6073
Peru,PER,2006,6686460.29,1865.74,0.0279,1658064.79,3739.47,18814587.35,22.7622
DR Congo,COD,2017,2090466.82,548.33,0.0262,898043.67,483.77,7843151.14,22.8156
Vietnam,VNM,2020,5002287.71,2917.36,0.0583,2499548.85,3149.94,33807535.03,100.0465
Peru,PER,2005,7742081.3,2033.05,0.0263,3813254.87,4778.95,16916913.94,46.0079
India,IND,2000,7744867.05,111.81,0.0014,1976969.8,124.23,5719293.82,5.7754
Argentina,ARG,2021,2287723.36,4279.5,0.1871,1041800.89,4888.14,27596494.46,117.9939
DR Congo,COD,2013,5164172.93,1668.1,0.0323,1843257.14,3572.53,790861.56,1.0051
Colombia,COL,2022,6667368.9,610.44,0.0092,1400311.75,701.55,14272595.08,16.5575
DR Congo,COD,2008,6638600.11,2258.81,0.034,2699844.73,2201.59,47919820.38,49.7785
Brazil,BRA,2015,4092804.57,2583.5,0.0631,1520563.44,4096.47,11101217.45,29.7851
India,IND,2022,4558707.47,651,0.0143,2519929.09,149.62,30295025.78,63.881
Argentina,ARG,2015,2519655.48,1493.51,0.0593,1275626.18,2398.86,43352819.63,48.1014
Thailand,THA,2013,3174148.8,478.58,0.0151,1779067.42,968.05,3981524.12,4.4443
Thailand,THA,2006,985689.81,1922.47,0.195,482268.54,4857.31,5912059.67,25.3264
Vietnam,VNM,2019,3202781.93,1628.3,0.0508,1883273.22,410.22,9809825.47,101.9223
Vietnam,VNM,2000,5575237.76,773.78,0.0139,3222113.29,2125.23,3899620.7,5.9619
Indonesia,IDN,2007,6887469.53,1383.21,0.0201,3655214.3,1078.6,14493997.36,89.3603
Brazil,BRA,2018,5702429.75,394.86,0.0069,1191951.55,148.96,15817028.44,39.1273
DR Congo,COD,2011,1320715.23,1966.38,0.1489,373195.76,2509.4,30560723.08,48.0959
DR Congo,COD,2015,1898952.97,474.43,0.025,721629.4,572.48,8242654.74,15.8617
Brazil,BRA,2016,1968319.88,2690.09,0.1367,500980.96,2518.86,13104201.9,56.6358
Colombia,COL,2009,7307857.81,478.24,0.0065,4171400.73,806.14,1453623.52,2.1301
DR Congo,COD,2000,2460744.98,2770.88,0.1126,1301549.23,3950.45,45842015.11,56.498
Indonesia,IDN,2009,3778888.93,1809.49,0.0479,2058279.63,1884.8,15817539.8,44.8647
Colombia,COL,2012,1370812.89,2279.29,0.1663,497515.4,2666.54,43426713.32,94.128
Argentina,ARG,2012,3954629.36,2449.31,0.0619,1177476.1,4213.61,12390113.52,17.1832
Argentina,ARG,2010,4861206.43,2538.3,0.0522,1345036.25,4761.9,41043930.28,49.7295
India,IND,2022,6902999.21,1686.39,0.0244,1530734.84,658.83,13323129.41,107.5574
Mexico,MEX,2010,7520647.29,400.08,0.0053,3594080.34,338.7,29994268.62,47.6657
Argentina,ARG,2014,4368851.87,1846.49,0.0423,2329834.8,2721.25,26247524.22,53.7481
Thailand,THA,2019,6038100.95,809.7,0.0134,1749907.04,119.06,27832103.97,125.613
Brazil,BRA,2003,6250157.09,2621.77,0.0419,2447517.57,3347.18,34981256.59,41.6898
Peru,PER,2022,1274309.7,1035.5,0.0813,691945.42,1195.72,14462035.97,23.4673
Indonesia,IDN,2001,5141215.37,2976.54,0.0579,2072299.98,2069.08,49042559.42,146.6498
Mexico,MEX,2009,7300892.87,1407,0.0193,3377098.58,1982.26,1916263.14,2.7816
Indonesia,IDN,2017,4882529.02,1154.58,0.0236,1260147.16,841.8,49890727.07,88.7421
India,IND,2022,2119340.04,3234.65,0.1526,544759.88,4791.83,17106622.96,31.9357
Argentina,ARG,2009,5078955.74,1100.62,0.0217,1498352.71,1287.53,23230483.84,59.0627
Peru,PER,2022,5952149.89,2486.16,0.0418,3398133.77,1972.32,49495185.32,144.6917
